domain,representation,stage,n_adaptation_speakers,n_adaptation_samples,repeat,seed,adaptation_speakers,train_loss,run_id,target_balanced_accuracy,target_macro_f1_observed,target_accuracy,unsupported_prediction_rate,source_balanced_accuracy,target_gain,source_change
ravdess_song,egemaps,adapted,2,88,2,73,"[""ravdess_13"", ""ravdess_14""]",0.6843381849202242,adapt::ravdess_song::egemaps::n2::r2::s73,0.3697916666666667,0.3071375322896622,0.39204545454545453,0.022727272727272728,0.5,0.02083333333333337,-0.0546875
ravdess_song,egemaps,adapted,2,88,3,13,"[""ravdess_04"", ""ravdess_20""]",11.064133373173801,adapt::ravdess_song::egemaps::n2::r3::s13,0.375,0.3247882516148117,0.3977272727272727,0.03977272727272727,0.50390625,0.026041666666666685,-0.05078125
ravdess_song,egemaps,adapted,2,88,3,42,"[""ravdess_04"", ""ravdess_20""]",10.940810203552246,adapt::ravdess_song::egemaps::n2::r3::s42,0.3854166666666667,0.34078216955380974,0.4034090909090909,0.03977272727272727,0.50390625,0.03645833333333337,-0.05078125
ravdess_song,egemaps,adapted,2,88,3,73,"[""ravdess_04"", ""ravdess_20""]",11.152344400232488,adapt::ravdess_song::egemaps::n2::r3::s73,0.390625,0.3551832426832427,0.4090909090909091,0.03977272727272727,0.5078125,0.041666666666666685,-0.046875
ravdess_song,egemaps,adapted,2,88,4,13,"[""ravdess_07"", ""ravdess_13""]",0.6064744916829196,adapt::ravdess_song::egemaps::n2::r4::s13,0.375,0.3559309001021604,0.4034090909090909,0.06818181818181818,0.49609375,0.026041666666666685,-0.05859375
ravdess_song,egemaps,adapted,2,88,4,42,"[""ravdess_07"", ""ravdess_13""]",0.6197705702348189,adapt::ravdess_song::egemaps::n2::r4::s42,0.375,0.35438592655718676,0.4034090909090909,0.06818181818181818,0.4921875,0.026041666666666685,-0.0625
ravdess_song,egemaps,adapted,2,88,4,73,"[""ravdess_07"", ""ravdess_13""]",0.6159113157879222,adapt::ravdess_song::egemaps::n2::r4::s73,0.375,0.35438592655718676,0.4034090909090909,0.06818181818181818,0.5,0.026041666666666685,-0.0546875
ravdess_song,egemaps,adapted,4,176,0,13,"[""ravdess_03"", ""ravdess_12"", ""ravdess_19"", ""ravdess_20""]",1.0558401183648543,adapt::ravdess_song::egemaps::n4::r0::s13,0.3645833333333333,0.33809278150048944,0.3806818181818182,0.005681818181818182,0.47265625,0.015625,-0.08203125
ravdess_song,egemaps,adapted,4,176,0,42,"[""ravdess_03"", ""ravdess_12"", ""ravdess_19"", ""ravdess_20""]",1.0509783083742315,adapt::ravdess_song::egemaps::n4::r0::s42,0.3645833333333333,0.33809278150048944,0.3806818181818182,0.005681818181818182,0.46875,0.015625,-0.0859375
ravdess_song,egemaps,adapted,4,176,0,73,"[""ravdess_03"", ""ravdess_12"", ""ravdess_19"", ""ravdess_20""]",1.0526385740800337,adapt::ravdess_song::egemaps::n4::r0::s73,0.3697916666666667,0.3444421996146134,0.38636363636363635,0.005681818181818182,0.46875,0.02083333333333337,-0.0859375
ravdess_song,egemaps,adapted,4,176,1,13,"[""ravdess_07"", ""ravdess_14"", ""ravdess_16"", ""ravdess_19""]",0.7926922982389276,adapt::ravdess_song::egemaps::n4::r1::s13,0.4427083333333333,0.42465874178080226,0.44886363636363635,0.022727272727272728,0.5234375,0.09375,-0.03125
ravdess_song,egemaps,adapted,4,176,1,42,"[""ravdess_07"", ""ravdess_14"", ""ravdess_16"", ""ravdess_19""]",0.7868288159370422,adapt::ravdess_song::egemaps::n4::r1::s42,0.4427083333333333,0.42524719861160915,0.44886363636363635,0.022727272727272728,0.53515625,0.09375,-0.01953125
ravdess_song,egemaps,adapted,4,176,1,73,"[""ravdess_07"", ""ravdess_14"", ""ravdess_16"", ""ravdess_19""]",0.7897926352240823,adapt::ravdess_song::egemaps::n4::r1::s73,0.4427083333333333,0.42524719861160915,0.44886363636363635,0.022727272727272728,0.53125,0.09375,-0.0234375
ravdess_song,egemaps,adapted,4,176,2,13,"[""ravdess_08"", ""ravdess_12"", ""ravdess_16"", ""ravdess_22""]",22.868673758073285,adapt::ravdess_song::egemaps::n4::r2::s13,0.4114583333333333,0.35330097889936946,0.3977272727272727,0.011363636363636364,0.4609375,0.0625,-0.09375
ravdess_song,egemaps,adapted,4,176,2,42,"[""ravdess_08"", ""ravdess_12"", ""ravdess_16"", ""ravdess_22""]",22.6187137148597,adapt::ravdess_song::egemaps::n4::r2::s42,0.4270833333333333,0.36618962722978715,0.4090909090909091,0.011363636363636364,0.4609375,0.078125,-0.09375
ravdess_song,egemaps,adapted,4,176,2,73,"[""ravdess_08"", ""ravdess_12"", ""ravdess_16"", ""ravdess_22""]",22.081540969285097,adapt::ravdess_song::egemaps::n4::r2::s73,0.4270833333333333,0.3656100400257987,0.4090909090909091,0.011363636363636364,0.46484375,0.078125,-0.08984375
ravdess_song,egemaps,adapted,4,176,3,13,"[""ravdess_03"", ""ravdess_10"", ""ravdess_20"", ""ravdess_22""]",20.41153006662022,adapt::ravdess_song::egemaps::n4::r3::s13,0.4010416666666667,0.35913653902544374,0.4034090909090909,0.028409090909090908,0.51953125,0.05208333333333337,-0.03515625
ravdess_song,egemaps,adapted,4,176,3,42,"[""ravdess_03"", ""ravdess_10"", ""ravdess_20"", ""ravdess_22""]",20.32341767983003,adapt::ravdess_song::egemaps::n4::r3::s42,0.3958333333333333,0.3566889655766345,0.3977272727272727,0.028409090909090908,0.51171875,0.046875,-0.04296875
ravdess_song,egemaps,adapted,4,176,3,73,"[""ravdess_03"", ""ravdess_10"", ""ravdess_20"", ""ravdess_22""]",19.45147955417633,adapt::ravdess_song::egemaps::n4::r3::s73,0.390625,0.3523189853190852,0.39204545454545453,0.028409090909090908,0.5078125,0.041666666666666685,-0.046875
ravdess_song,egemaps,adapted,4,176,4,13,"[""ravdess_07"", ""ravdess_15"", ""ravdess_16"", ""ravdess_24""]",0.7966803041371432,adapt::ravdess_song::egemaps::n4::r4::s13,0.4322916666666667,0.4182446673059939,0.44886363636363635,0.028409090909090908,0.52734375,0.08333333333333337,-0.02734375
ravdess_song,egemaps,adapted,4,176,4,42,"[""ravdess_07"", ""ravdess_15"", ""ravdess_16"", ""ravdess_24""]",0.7925214442339811,adapt::ravdess_song::egemaps::n4::r4::s42,0.4322916666666667,0.41826687135224977,0.44886363636363635,0.028409090909090908,0.52734375,0.08333333333333337,-0.02734375
ravdess_song,egemaps,adapted,4,176,4,73,"[""ravdess_07"", ""ravdess_15"", ""ravdess_16"", ""ravdess_24""]",0.7930790944532915,adapt::ravdess_song::egemaps::n4::r4::s73,0.4322916666666667,0.41821597894511625,0.44886363636363635,0.028409090909090908,0.52734375,0.08333333333333337,-0.02734375
