protocol,target,fold,family,family_label,importance_normalized,importance_mean_per_feature,nonzero_fraction,n_features
speaker_dependent,emotion_quadrant,2,voice_quality,Calidad vocal,0.10844120383262634,0.010844120755791664,0.75,10
speaker_dependent,emotion_quadrant,3,cepstral_mfcc,MFCC,0.129437655210495,0.008089853450655937,0.765625,16
speaker_dependent,emotion_quadrant,3,energy_loudness,Loudness y energía,0.1594308614730835,0.013285905122756958,0.7916666666666666,12
speaker_dependent,emotion_quadrant,3,formants,Formantes,0.1716383695602417,0.009535465389490128,0.7777777777777778,18
speaker_dependent,emotion_quadrant,3,prosody_f0,F0 y prosodia,0.17502617835998535,0.017502617090940475,0.8,10
speaker_dependent,emotion_quadrant,3,spectral,Espectro,0.19239410758018494,0.011317300610244274,0.8529411764705882,17
speaker_dependent,emotion_quadrant,3,temporal_voicing,Voicing y temporalidad,0.062444545328617096,0.01248890906572342,0.7,5
speaker_dependent,emotion_quadrant,3,voice_quality,Calidad vocal,0.10962824523448944,0.01096282433718443,0.8,10
speaker_dependent,emotion_quadrant,4,cepstral_mfcc,MFCC,0.13655446469783783,0.008534654043614864,0.71875,16
speaker_dependent,emotion_quadrant,4,energy_loudness,Loudness y energía,0.14670252799987793,0.012225210666656494,0.625,12
speaker_dependent,emotion_quadrant,4,formants,Formantes,0.16947032511234283,0.009415018372237682,0.7083333333333334,18
speaker_dependent,emotion_quadrant,4,prosody_f0,F0 y prosodia,0.15867404639720917,0.015867404639720917,0.775,10
speaker_dependent,emotion_quadrant,4,spectral,Espectro,0.23456449806690216,0.013797911815345287,0.7058823529411765,17
speaker_dependent,emotion_quadrant,4,temporal_voicing,Voicing y temporalidad,0.03115764446556568,0.006231528706848621,0.6,5
speaker_dependent,emotion_quadrant,4,voice_quality,Calidad vocal,0.12287647277116776,0.01228764746338129,0.85,10
