representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_90,2,88,32,960,240,0.0470081999665126,0.6178848030582135,0.63671875,0.63671875,0.6378824181598748,0.6333333333333333,,,,,,,32.0,0.90518319606781,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_90,3,88,31,960,240,0.0500741000287234,0.513350751964437,0.5078125,0.5078125,0.5610900706695432,0.5666666666666667,,,,,,,31.0,0.901405394077301,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_90,4,88,31,960,240,0.0463483999483287,0.5909070816985703,0.609375,0.609375,0.630716559043647,0.6291666666666667,,,,,,,31.0,0.9011746644973756,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_95,0,88,40,960,240,0.049652999965474,0.539898433537709,0.5768229166666666,0.5768229166666666,0.5552566413749583,0.55,,,,,,,40.0,0.9505990743637084,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_95,1,88,40,960,240,0.0490787000162526,0.5330435989951707,0.5546875,0.5546875,0.5585219840105142,0.55,,,,,,,40.0,0.952466368675232,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_95,2,88,40,960,240,0.0529236999573186,0.60497792550467,0.6223958333333334,0.6223958333333334,0.6306240897606632,0.625,,,,,,,40.0,0.9504958391189576,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_95,3,88,41,960,240,0.0575271000852808,0.565099764610821,0.5638020833333334,0.5638020833333334,0.6025113103438015,0.6041666666666666,,,,,,,41.0,0.9535608291625975,
egemaps,speaker_independent,emotion_quadrant,logistic_regression,pca_95,4,88,40,960,240,0.0529915000079199,0.5727225340035218,0.58984375,0.58984375,0.6127050532435718,0.6125,,,,,,,40.0,0.951108455657959,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,0,88,31,960,240,0.060605900012888,0.5686666509684738,0.5924479166666666,0.5924479166666666,0.5982971718244912,0.6041666666666666,0.4419194908733004,0.44921875,0.44921875,0.4550065212590058,0.45,,31.0,0.9037782549858092,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,1,88,31,960,240,0.0593515000073239,0.5377015529529126,0.5494791666666666,0.5494791666666666,0.5629842786298715,0.5666666666666667,0.4127003945904052,0.42578125,0.42578125,0.4249756589916703,0.4375,,31.0,0.9025691747665404,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,2,88,32,960,240,0.0548427000176161,0.6136540981948894,0.6145833333333333,0.6145833333333333,0.6412790043595976,0.6416666666666667,0.5173783677985201,0.53125,0.53125,0.5215672286820577,0.525,,32.0,0.90518319606781,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,3,88,31,960,240,0.0611604999285191,0.5226166392221439,0.5221354166666666,0.5221354166666666,0.5709786455474528,0.5916666666666667,0.425366205947164,0.4375,0.4375,0.4352054344917898,0.4458333333333333,,31.0,0.901405394077301,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,4,88,31,960,240,0.0626541000092402,0.5564152077713906,0.5716145833333334,0.5716145833333334,0.6093250429621996,0.625,0.463713029625481,0.47265625,0.47265625,0.475579612552894,0.475,,31.0,0.9011746644973756,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,0,88,40,960,240,0.0649630000116303,0.563691288840911,0.5885416666666666,0.5885416666666666,0.5991649733299466,0.6,0.4696216388273485,0.48046875,0.48046875,0.4794243717384189,0.4708333333333333,,40.0,0.9505990743637084,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,1,88,40,960,240,0.0667103000450879,0.5262191682228446,0.5403645833333334,0.5403645833333334,0.5626089324618737,0.5666666666666667,0.4321060627914092,0.44921875,0.44921875,0.4355163082473444,0.4458333333333333,,40.0,0.952466368675232,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,2,88,40,960,240,0.064276700024493,0.5954569151198364,0.5963541666666666,0.5963541666666666,0.6216972374275744,0.6208333333333333,0.5039564027171763,0.51953125,0.51953125,0.5102030688812274,0.5208333333333334,,40.0,0.9504958391189576,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,3,88,41,960,240,0.0655411999905482,0.5660239521837459,0.5598958333333333,0.5598958333333333,0.6093034922313272,0.625,0.4752766394336182,0.484375,0.484375,0.4861284153958594,0.4958333333333333,,41.0,0.9535608291625975,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,4,88,40,960,240,0.0642550999764353,0.5602059189872312,0.5755208333333333,0.5755208333333333,0.6034635568796268,0.6166666666666667,0.4605988931548652,0.46875,0.46875,0.4686104505708633,0.4666666666666667,,40.0,0.951108455657959,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_90,0,768,60,960,240,0.3107425000052899,0.5098872604192419,0.51171875,0.51171875,0.5211155168049149,0.5166666666666667,,,,,,,60.0,0.9005258083343506,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_90,1,768,59,960,240,0.2691279998980462,0.4088885177836986,0.421875,0.421875,0.4100607957808727,0.4125,,,,,,,59.0,0.9004108309745789,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_90,2,768,59,960,240,0.2930073000025004,0.5050868207651009,0.5078125,0.5078125,0.5076481643716633,0.5125,,,,,,,59.0,0.9003046154975891,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_90,3,768,59,960,240,0.2847529000137001,0.4367623938813608,0.44140625,0.44140625,0.4428913810596585,0.45,,,,,,,59.0,0.9000555276870728,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_90,4,768,59,960,240,0.2500683000544086,0.4909155516659511,0.5078125,0.5078125,0.4950718265389193,0.5166666666666667,,,,,,,59.0,0.9019570350646972,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_95,0,768,97,960,240,0.3964046000037342,0.5261498983682305,0.52734375,0.52734375,0.5401739266804985,0.5375,,,,,,,97.0,0.9500985741615297,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_95,1,768,96,960,240,0.3459183999802917,0.4007418179801712,0.40625,0.40625,0.3978283095492197,0.4,,,,,,,96.0,0.9505273103713988,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_95,2,768,96,960,240,0.3503278000280261,0.5171373690316772,0.51953125,0.51953125,0.5269218356090976,0.5333333333333333,,,,,,,96.0,0.9502397179603576,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_95,3,768,97,960,240,0.4007322000106796,0.4752321380047249,0.484375,0.484375,0.4802476138717066,0.4916666666666666,,,,,,,97.0,0.950653612613678,
wav2vec,speaker_independent,emotion_original,logistic_regression,pca_95,4,768,95,960,240,0.3343165999976918,0.5145795920500007,0.53515625,0.53515625,0.518408707710477,0.5375,,,,,,,95.0,0.9500588774681092,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_90,0,768,60,960,240,0.2175138000166043,0.5758241758241759,0.59375,0.59375,0.6045665445665446,0.5958333333333333,,,,,,,60.0,0.9005258083343506,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_90,1,768,59,960,240,0.1964127999963238,0.489105482472142,0.5026041666666666,0.5026041666666666,0.5240800523976803,0.5083333333333333,,,,,,,59.0,0.9004108309745789,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_90,2,768,59,960,240,0.2162529999623075,0.5605484118527404,0.5703125,0.5703125,0.5887989348285327,0.5791666666666667,,,,,,,59.0,0.9003046154975891,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_90,3,768,59,960,240,0.1943336999975145,0.5118651743546614,0.5091145833333334,0.5091145833333334,0.5810924931530483,0.5875,,,,,,,59.0,0.9000555276870728,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_90,4,768,59,960,240,0.2160350000485777,0.5666700813759638,0.5846354166666666,0.5846354166666666,0.6070520188167247,0.625,,,,,,,59.0,0.9019570350646972,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_95,0,768,97,960,240,0.2876995999831706,0.5806473018746372,0.5963541666666666,0.5963541666666666,0.6255832780837812,0.6166666666666667,,,,,,,97.0,0.9500985741615297,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_95,1,768,96,960,240,0.2507941999938339,0.4929353925889332,0.4934895833333333,0.4934895833333333,0.5343854950750336,0.5166666666666667,,,,,,,96.0,0.9505273103713988,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_95,2,768,96,960,240,0.2519593000179156,0.6251784590538919,0.62890625,0.62890625,0.6535842947163543,0.65,,,,,,,96.0,0.9502397179603576,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_95,3,768,97,960,240,0.2927189000183716,0.5367469992674562,0.5286458333333334,0.5286458333333334,0.608513725669879,0.6208333333333333,,,,,,,97.0,0.950653612613678,
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,pca_95,4,768,95,960,240,0.2905799999134615,0.6055072842504926,0.6158854166666666,0.6158854166666666,0.6369360483074448,0.6541666666666667,,,,,,,95.0,0.9500588774681092,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,0,768,60,960,240,0.29124839999713,0.5820973916349065,0.5859375,0.5859375,0.619724331402777,0.6208333333333333,0.5098872604192419,0.51171875,0.51171875,0.5211155168049149,0.5166666666666667,,60.0,0.9005258083343506,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,1,768,59,960,240,0.2651012000860646,0.5268692648675835,0.5416666666666667,0.5416666666666667,0.5679216858063741,0.5583333333333333,0.4088885177836986,0.421875,0.421875,0.4100607957808727,0.4125,,59.0,0.9004108309745789,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,2,768,59,960,240,0.2734919999493286,0.592126324260148,0.5807291666666666,0.5807291666666666,0.6252715464972404,0.625,0.5050868207651009,0.5078125,0.5078125,0.5076481643716633,0.5125,,59.0,0.9003046154975891,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,3,768,59,960,240,0.2799374000169337,0.490182858129885,0.484375,0.484375,0.5552524931333331,0.5708333333333333,0.4367623938813608,0.44140625,0.44140625,0.4428913810596585,0.45,,59.0,0.9000555276870728,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_90,4,768,59,960,240,0.2548225000500679,0.6221734524634488,0.62890625,0.62890625,0.6525597575491359,0.6708333333333333,0.4909155516659511,0.5078125,0.5078125,0.4950718265389193,0.5166666666666667,,59.0,0.9019570350646972,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,0,768,97,960,240,0.3966042000101879,0.6352333213409347,0.6458333333333334,0.6458333333333334,0.6778538833846854,0.6791666666666667,0.5261498983682305,0.52734375,0.52734375,0.5401739266804985,0.5375,,97.0,0.9500985741615297,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,1,768,96,960,240,0.3428411000641063,0.527803163340298,0.5286458333333334,0.5286458333333334,0.5685637821741096,0.5541666666666667,0.4007418179801712,0.40625,0.40625,0.3978283095492197,0.4,,96.0,0.9505273103713988,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,2,768,96,960,240,0.3469577999785542,0.628521492801081,0.6184895833333334,0.6184895833333334,0.6574250220905452,0.6583333333333333,0.5171373690316772,0.51953125,0.51953125,0.5269218356090976,0.5333333333333333,,96.0,0.9502397179603576,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,3,768,97,960,240,0.3971064999932423,0.5369397841304088,0.5286458333333334,0.5286458333333334,0.5908191872166816,0.6083333333333333,0.4752321380047249,0.484375,0.484375,0.4802476138717066,0.4916666666666666,,97.0,0.950653612613678,
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,pca_95,4,768,95,960,240,0.3319360000314191,0.5819379516836705,0.59765625,0.59765625,0.630198183493461,0.6541666666666667,0.5145795920500007,0.53515625,0.53515625,0.518408707710477,0.5375,,95.0,0.9500588774681092,
egemaps,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,0,88,7,960,240,0.05788440001197159,0.5602862560085734,0.56640625,0.56640625,0.5704277887220701,0.5625,,,,,,,,,7.0
egemaps,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,1,88,7,960,240,0.0674079000018537,0.48298345646206675,0.484375,0.484375,0.48507482667781743,0.4875,,,,,,,,,7.0
egemaps,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,2,88,7,960,240,0.05946330004371703,0.5328725268290135,0.54296875,0.54296875,0.5409463815587909,0.55,,,,,,,,,7.0
egemaps,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,3,88,7,960,240,0.05698709993157536,0.4480561931769932,0.45703125,0.45703125,0.4607223049801906,0.4708333333333333,,,,,,,,,7.0
egemaps,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,4,88,7,960,240,0.0559051000745967,0.5079635873894786,0.51171875,0.51171875,0.5196056043265549,0.5208333333333334,,,,,,,,,7.0
egemaps,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,0,88,3,960,240,0.023089800029993057,0.582737843551797,0.6106770833333334,0.6106770833333334,0.6004558542232962,0.5916666666666667,,,,,,,,,3.0
egemaps,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,1,88,3,960,240,0.022701000096276402,0.5608462074427746,0.578125,0.578125,0.5885019098501622,0.5708333333333333,,,,,,,,,3.0
egemaps,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,2,88,3,960,240,0.0210166999604553,0.6528382799566488,0.6796875,0.6796875,0.6781910457032515,0.6708333333333333,,,,,,,,,3.0
egemaps,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,3,88,3,960,240,0.02718549990095198,0.5624870324870326,0.5559895833333334,0.5559895833333334,0.6101141141141142,0.625,,,,,,,,,3.0
egemaps,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,4,88,3,960,240,0.024710600031539798,0.629844893893059,0.6471354166666666,0.6471354166666666,0.6610307972693295,0.6583333333333333,,,,,,,,,3.0
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,0,88,7,960,240,0.05860719992779195,0.6614997821479272,0.6796875,0.6796875,0.6875332407213962,0.6875,0.5602862560085734,0.56640625,0.56640625,0.5704277887220701,0.5625,,,,7.0
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,1,88,7,960,240,0.06713380001019686,0.5728396670643818,0.5846354166666666,0.5846354166666666,0.606434875147356,0.6,0.48298345646206675,0.484375,0.484375,0.48507482667781743,0.4875,,,,7.0
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,2,88,7,960,240,0.05894869996700436,0.625163695642419,0.6341145833333334,0.6341145833333334,0.6540100167759741,0.65,0.5328725268290135,0.54296875,0.54296875,0.5409463815587909,0.55,,,,7.0
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,3,88,7,960,240,0.057405600091442466,0.539050705143882,0.52734375,0.52734375,0.5736824542811336,0.5916666666666667,0.4480561931769932,0.45703125,0.45703125,0.4607223049801906,0.4708333333333333,,,,7.0
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,4,88,7,960,240,0.05922269995789975,0.6167443172160153,0.62890625,0.62890625,0.6570329506178562,0.6666666666666666,0.5079635873894786,0.51171875,0.51171875,0.5196056043265549,0.5208333333333334,,,,7.0
wav2vec,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,0,768,7,960,240,0.3432168000144884,0.6017803631464527,0.609375,0.609375,0.6130702251940541,0.6166666666666667,,,,,,,,,7.0
wav2vec,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,1,768,7,960,240,0.402812400017865,0.5447445157226776,0.55078125,0.55078125,0.5459730974726104,0.5458333333333333,,,,,,,,,7.0
wav2vec,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,2,768,7,960,240,0.3729670000029728,0.5570027811871947,0.56640625,0.56640625,0.5750886808853887,0.5916666666666667,,,,,,,,,7.0
wav2vec,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,3,768,7,960,240,0.32350850000511855,0.5638938392550072,0.5546875,0.5546875,0.5694867618720078,0.5666666666666667,,,,,,,,,7.0
wav2vec,speaker_independent,emotion_original,logistic_regression,lda_shrinkage,4,768,7,960,240,0.3397047999314964,0.5746961094583977,0.58984375,0.58984375,0.5812631516762591,0.5875,,,,,,,,,7.0
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,0,768,3,960,240,0.22818700002972037,0.6184794092004718,0.625,0.625,0.6588562148486247,0.6541666666666667,,,,,,,,,3.0
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,1,768,3,960,240,0.22394970001187176,0.5889167140210987,0.6184895833333333,0.6184895833333333,0.6143504811699185,0.6,,,,,,,,,3.0
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,2,768,3,960,240,0.2270352999912575,0.6045463937314002,0.6002604166666666,0.6002604166666666,0.637261691990932,0.6375,,,,,,,,,3.0
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,3,768,3,960,240,0.22438819997478276,0.5713531188140856,0.5611979166666666,0.5611979166666666,0.6273138136740166,0.6375,,,,,,,,,3.0
wav2vec,speaker_independent,emotion_quadrant,logistic_regression,lda_shrinkage,4,768,3,960,240,0.22502769995480776,0.686810895564284,0.7018229166666667,0.7018229166666667,0.708631769389482,0.7125,,,,,,,,,3.0
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,0,768,7,960,240,0.3238515000557527,0.655102193782712,0.6666666666666666,0.6666666666666666,0.7084888511979716,0.7166666666666667,0.6017803631464527,0.609375,0.609375,0.6130702251940541,0.6166666666666667,,,,7.0
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,1,768,7,960,240,0.34279739996418357,0.6271211346792742,0.6484375,0.6484375,0.6696822557287674,0.6541666666666667,0.5447445157226776,0.55078125,0.55078125,0.5459730974726104,0.5458333333333333,,,,7.0
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,2,768,7,960,240,0.32007150002755225,0.6304669148606125,0.6236979166666667,0.6236979166666667,0.6585055178832602,0.6625,0.5570027811871947,0.56640625,0.56640625,0.5750886808853887,0.5916666666666667,,,,7.0
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,3,768,7,960,240,0.2953595999861136,0.572248067406518,0.5625,0.5625,0.6366987789523002,0.6458333333333334,0.5638938392550072,0.5546875,0.5546875,0.5694867618720078,0.5666666666666667,,,,7.0
wav2vec,speaker_independent,emotion_original_eval_quadrant,logistic_regression,lda_shrinkage,4,768,7,960,240,0.3289666000055149,0.6612818578650224,0.6783854166666667,0.6783854166666667,0.6977074909290787,0.7041666666666667,0.5746961094583977,0.58984375,0.58984375,0.5812631516762591,0.5875,,,,7.0
