representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,original_macro_f1,original_balanced_accuracy,original_uar,original_weighted_f1,original_accuracy,inner_best_balanced_accuracy,pca_n_components,pca_explained_variance,lda_n_components
egemaps,speaker_independent,emotion_quadrant,mlp,none,3,88,88,960,240,0.3787336000241339,0.4907290500183487,0.4843749999999999,0.4843749999999999,0.5497003451074448,0.5791666666666667,,,,,,,,,
egemaps,speaker_independent,emotion_quadrant,mlp,none,4,88,88,960,240,0.4503155999118462,0.5771408469579202,0.5768229166666666,0.5768229166666666,0.6198293576342357,0.6208333333333333,,,,,,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,random_forest,none,0,88,88,960,240,0.451623999979347,0.5455892449207738,0.578125,0.578125,0.5896349761835326,0.5958333333333333,0.4210229901678219,0.4296875,0.4296875,0.425902783715242,0.425,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,random_forest,none,1,88,88,960,240,0.4670247000176459,0.502890996995593,0.5130208333333334,0.5130208333333334,0.5451071164538741,0.5541666666666667,0.4056521346960335,0.41015625,0.41015625,0.4136479912948168,0.4208333333333333,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,random_forest,none,2,88,88,960,240,0.4386617999989539,0.5666512448296741,0.5598958333333333,0.5598958333333333,0.6035989959819228,0.6125,0.4553784790490208,0.4609375,0.4609375,0.4659839578992024,0.475,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,random_forest,none,3,88,88,960,240,0.4422988999867812,0.5618405259783743,0.5572916666666666,0.5572916666666666,0.6148681484109191,0.6208333333333333,0.4426842117691827,0.453125,0.453125,0.4610853814426837,0.475,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,random_forest,none,4,88,88,960,240,0.4430710000451654,0.6121773996014118,0.625,0.625,0.6394633903752445,0.6541666666666667,0.4659254878369114,0.47265625,0.47265625,0.4715903616292135,0.4875,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,0,88,88,960,240,0.0687935999594628,0.6191867067649879,0.6393229166666667,0.6393229166666667,0.64713435196933,0.65,0.5560056891773626,0.5703125,0.5703125,0.5645013065510914,0.5583333333333333,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,1,88,88,960,240,0.0664160999003797,0.548966351076988,0.5520833333333333,0.5520833333333333,0.5725634041757175,0.575,0.4504009668383482,0.453125,0.453125,0.456618174151381,0.4625,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,2,88,88,960,240,0.0703431000001728,0.600818785336182,0.6041666666666666,0.6041666666666666,0.6259200052419671,0.625,0.5483959532662288,0.55859375,0.55859375,0.5525232510515449,0.5583333333333333,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,3,88,88,960,240,0.0653981000650674,0.5331367731367731,0.5325520833333334,0.5325520833333334,0.5794266994266993,0.6041666666666666,0.4177930316248672,0.4296875,0.4296875,0.4265982813522394,0.4375,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,logistic_regression,none,4,88,88,960,240,0.0569985000183805,0.6631003548403218,0.66796875,0.66796875,0.6868795708597798,0.6916666666666667,0.5432903189561814,0.54296875,0.54296875,0.5566525306961173,0.5541666666666667,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,mlp,none,0,88,88,960,240,0.6244892000686377,0.5850097805489334,0.6080729166666667,0.6080729166666667,0.6294057637318228,0.6333333333333333,0.4724656296084867,0.48046875,0.48046875,0.4861855604712747,0.4875,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,mlp,none,1,88,88,960,240,0.5766102999914438,0.5549912449971413,0.5625,0.5625,0.5938036020583191,0.6,0.4626823619299011,0.4765625,0.4765625,0.4751370481275268,0.4916666666666666,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,mlp,none,2,88,88,960,240,0.8371156000066549,0.5989050904374457,0.5872395833333333,0.5872395833333333,0.6384985139597802,0.6416666666666667,0.5235923796576888,0.52734375,0.52734375,0.5299271097301061,0.5375,,,,
egemaps,speaker_independent,emotion_original_eval_quadrant,mlp,none,3,88,88,960,240,0.4628116999519989,0.5160095433522246,0.5065104166666667,0.5065104166666667,0.5623056044123076,0.5708333333333333,0.423328734679844,0.44140625,0.44140625,0.451550650325167,0.4708333333333333,,,,
