representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,seed,result_type,trainable_params,best_epoch,seed_macro_f1_std,layer_strategy,pooling
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,4,19968,1536,,,4.159289199975319,0.7860765141766323,0.78125,0.78125,0.7879069024780629,0.7875,73,seed,15381.0,53.0,,,
wav2vec_layer_statistics,speaker_independent,emotion_original,layer_mixture,learned_layers_mean_std,4,19968,1536,,,,0.7582204426140456,0.76171875,0.76171875,0.7587684721216487,0.7625,-1,ensemble,12309.0,,0.045003829401374734,,
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,9984,1536,,,80.48934610001743,0.612021603522028,0.64453125,0.64453125,0.6231934141272002,0.6375,13,seed,64649.0,11.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,9984,1536,,,100.2722224999452,0.6302881683161896,0.640625,0.640625,0.6449569521868415,0.65,42,seed,64649.0,14.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,9984,1536,,,101.91547869995702,0.6488779544556587,0.64453125,0.64453125,0.6638536564698742,0.6583333333333333,73,seed,64649.0,14.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,0,9984,1536,,,,0.684856184453206,0.6953125,0.6953125,0.7005812906276373,0.6958333333333333,-1,ensemble,64649.0,,0.015046735128456874,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,9984,1536,,,58.425914100022055,0.5691536254956147,0.56640625,0.56640625,0.5820972005286557,0.5791666666666667,13,seed,64649.0,8.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,9984,1536,,,115.77965349995065,0.5663053531943457,0.55078125,0.55078125,0.5645528705677959,0.5541666666666667,42,seed,64649.0,16.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,9984,1536,,,51.45187029999215,0.6084014990369093,0.6015625,0.6015625,0.6045171545282587,0.6,73,seed,64649.0,7.0,,uniform,attentive_mean_std
wav2vec_multilayer_sequence,speaker_independent,emotion_original,attentive_statistics,average_attention_statistics,1,9984,1536,,,,0.640309563337771,0.6328125,0.6328125,0.6485882654097515,0.6416666666666667,-1,ensemble,64649.0,,0.019208197692692504,uniform,attentive_mean_std
