protocol,target,pooling,fold,seed,layer,weight
speaker_independent,emotion_original,mean,2,13,11,0.07106569409370422
speaker_independent,emotion_original,mean,2,13,12,0.0711311548948288
speaker_independent,emotion_original,mean,2,42,0,0.07406704127788544
speaker_independent,emotion_original,mean,2,42,1,0.07498952746391296
speaker_independent,emotion_original,mean,2,42,2,0.08110734820365906
speaker_independent,emotion_original,mean,2,42,3,0.08165354281663895
speaker_independent,emotion_original,mean,2,42,4,0.08001464605331421
speaker_independent,emotion_original,mean,2,42,5,0.07725340127944946
speaker_independent,emotion_original,mean,2,42,6,0.07931187748908997
speaker_independent,emotion_original,mean,2,42,7,0.07653451710939407
speaker_independent,emotion_original,mean,2,42,8,0.07578446716070175
speaker_independent,emotion_original,mean,2,42,9,0.07768632471561432
speaker_independent,emotion_original,mean,2,42,10,0.07388589531183243
speaker_independent,emotion_original,mean,2,42,11,0.07323602586984634
speaker_independent,emotion_original,mean,2,42,12,0.0744754746556282
speaker_independent,emotion_original,mean,2,73,0,0.07892394810914993
speaker_independent,emotion_original,mean,2,73,1,0.08030502498149872
speaker_independent,emotion_original,mean,2,73,2,0.07799448817968369
speaker_independent,emotion_original,mean,2,73,3,0.08012649416923523
speaker_independent,emotion_original,mean,2,73,4,0.08213704824447632
speaker_independent,emotion_original,mean,2,73,5,0.07796449214220047
speaker_independent,emotion_original,mean,2,73,6,0.07645214349031448
speaker_independent,emotion_original,mean,2,73,7,0.07951092720031738
speaker_independent,emotion_original,mean,2,73,8,0.07617304474115372
speaker_independent,emotion_original,mean,2,73,9,0.07113347947597504
speaker_independent,emotion_original,mean,2,73,10,0.07323779910802841
speaker_independent,emotion_original,mean,2,73,11,0.07283658534288406
speaker_independent,emotion_original,mean,2,73,12,0.07320462912321091
speaker_independent,emotion_original,mean,3,13,0,0.07711509615182877
speaker_independent,emotion_original,mean,3,13,1,0.07418595254421234
speaker_independent,emotion_original,mean,3,13,2,0.07714307308197021
speaker_independent,emotion_original,mean,3,13,3,0.07771189510822296
speaker_independent,emotion_original,mean,3,13,4,0.07854099571704865
speaker_independent,emotion_original,mean,3,13,5,0.07784189283847809
speaker_independent,emotion_original,mean,3,13,6,0.08069130033254623
speaker_independent,emotion_original,mean,3,13,7,0.08110396564006805
speaker_independent,emotion_original,mean,3,13,8,0.08067041635513306
speaker_independent,emotion_original,mean,3,13,9,0.07381843775510788
speaker_independent,emotion_original,mean,3,13,10,0.073553666472435
speaker_independent,emotion_original,mean,3,13,11,0.07378765195608139
speaker_independent,emotion_original,mean,3,13,12,0.07383569329977036
speaker_independent,emotion_original,mean,3,42,0,0.07290860265493393
speaker_independent,emotion_original,mean,3,42,1,0.0762607753276825
speaker_independent,emotion_original,mean,3,42,2,0.07655753940343857
speaker_independent,emotion_original,mean,3,42,3,0.07608787715435028
speaker_independent,emotion_original,mean,3,42,4,0.07681439816951752
speaker_independent,emotion_original,mean,3,42,5,0.08114726841449738
speaker_independent,emotion_original,mean,3,42,6,0.08134136348962784
speaker_independent,emotion_original,mean,3,42,7,0.08124825358390808
speaker_independent,emotion_original,mean,3,42,8,0.07840045541524887
speaker_independent,emotion_original,mean,3,42,9,0.07650361955165863
speaker_independent,emotion_original,mean,3,42,10,0.07465989142656326
speaker_independent,emotion_original,mean,3,42,11,0.0737064853310585
speaker_independent,emotion_original,mean,3,42,12,0.07436344027519226
speaker_independent,emotion_original,mean,3,73,0,0.06712673604488373
speaker_independent,emotion_original,mean,3,73,1,0.07303924858570099
speaker_independent,emotion_original,mean,3,73,2,0.07447535544633865
speaker_independent,emotion_original,mean,3,73,3,0.08751331269741058
speaker_independent,emotion_original,mean,3,73,4,0.09197304397821426
speaker_independent,emotion_original,mean,3,73,5,0.0910753607749939
speaker_independent,emotion_original,mean,3,73,6,0.08943044394254684
speaker_independent,emotion_original,mean,3,73,7,0.08419878780841827
speaker_independent,emotion_original,mean,3,73,8,0.07425437867641449
speaker_independent,emotion_original,mean,3,73,9,0.0678478553891182
