representation,protocol,target,model,refinement,fold,n_input_features,n_features,n_train,n_validation,train_seconds,macro_f1,balanced_accuracy,uar,weighted_f1,accuracy,experiment,family,family_label,baseline_macro_f1,delta_macro_f1
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:spectral,2,71,71,712,152,0.03766719999975976,0.5956076200794511,0.6036458333333333,0.6036458333333333,0.616881450647203,0.618421052631579,leave_one_family_out,spectral,Espectro,0.5947770265939138,0.0008305934855372676
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:spectral,3,71,71,710,154,0.03724439999996321,0.5060915169673584,0.4931399245915375,0.4931399245915375,0.5436443293873292,0.551948051948052,leave_one_family_out,spectral,Espectro,0.5188312370808955,-0.012739720113537079
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:spectral,4,71,71,672,192,0.033283100000062404,0.49547106837183175,0.54625,0.54625,0.49555292565788744,0.5,leave_one_family_out,spectral,Espectro,0.49277735495579883,0.002693713416032917
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:voice_quality,0,10,10,676,188,0.011791200000061508,0.40989836140445823,0.43139005602240893,0.43139005602240893,0.42464017104022095,0.42021276595744683,family_only,voice_quality,Calidad vocal,0.5717091942772093,-0.1618108328727511
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:voice_quality,1,10,10,686,178,0.010586100000182341,0.546955835487865,0.5707313519813519,0.5707313519813519,0.5626985859592105,0.5617977528089888,family_only,voice_quality,Calidad vocal,0.5323625046451134,0.014593330842751606
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:voice_quality,2,10,10,712,152,0.009941000000253553,0.44989656690140845,0.46718750000000003,0.46718750000000003,0.5150609247590808,0.5394736842105263,family_only,voice_quality,Calidad vocal,0.5947770265939138,-0.1448804596925054
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:voice_quality,3,10,10,710,154,0.012180200000329933,0.36910458743986385,0.40020597681888004,0.40020597681888004,0.3800253299816109,0.37662337662337664,family_only,voice_quality,Calidad vocal,0.5188312370808955,-0.14972664964103166
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:voice_quality,4,10,10,672,192,0.011529100000188919,0.44786173485787756,0.48119517543859647,0.48119517543859647,0.4449586337267147,0.4479166666666667,family_only,voice_quality,Calidad vocal,0.49277735495579883,-0.04491562009792127
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:voice_quality,0,78,78,676,188,0.036476000000220665,0.5698633175571648,0.5775210084033613,0.5775210084033613,0.6095703115237207,0.5904255319148937,leave_one_family_out,voice_quality,Calidad vocal,0.5717091942772093,-0.001845876720044548
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:voice_quality,1,78,78,686,178,0.03597140000010768,0.5659446234634204,0.5634469696969697,0.5634469696969697,0.6111997489711437,0.601123595505618,leave_one_family_out,voice_quality,Calidad vocal,0.5323625046451134,0.03358211881830708
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:voice_quality,2,78,78,712,152,0.040028699999766104,0.6034577087208666,0.6104166666666666,0.6104166666666666,0.6310884718086934,0.631578947368421,leave_one_family_out,voice_quality,Calidad vocal,0.5947770265939138,0.008680682126952721
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:voice_quality,3,78,78,710,154,0.03725960000019768,0.5976986384881122,0.5829143974305264,0.5829143974305264,0.6189326422409129,0.6233766233766234,leave_one_family_out,voice_quality,Calidad vocal,0.5188312370808955,0.07886740140721671
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:voice_quality,4,78,78,672,192,0.03902120000020659,0.5202386361744874,0.550921052631579,0.550921052631579,0.5240994127755417,0.53125,leave_one_family_out,voice_quality,Calidad vocal,0.49277735495579883,0.02746128121868857
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:temporal_voicing,0,5,5,676,188,0.008613699999841629,0.2988653819298981,0.35945378151260504,0.35945378151260504,0.3076469172557024,0.35638297872340424,family_only,temporal_voicing,Voicing y temporalidad,0.5717091942772093,-0.27284381234731125
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:temporal_voicing,1,5,5,686,178,0.008621899999980087,0.3200253646843062,0.39675602175602176,0.39675602175602176,0.3089481140839724,0.3707865168539326,family_only,temporal_voicing,Voicing y temporalidad,0.5323625046451134,-0.21233713996080716
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:temporal_voicing,2,5,5,712,152,0.009601400000065041,0.33819226750261233,0.40208333333333335,0.40208333333333335,0.30930906157766414,0.34868421052631576,family_only,temporal_voicing,Voicing y temporalidad,0.5947770265939138,-0.2565847590913015
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:temporal_voicing,3,5,5,710,154,0.010892100000091887,0.24726855492762545,0.3073069403714565,0.3073069403714565,0.21495017004097602,0.2597402597402597,family_only,temporal_voicing,Voicing y temporalidad,0.5188312370808955,-0.27156268215327006
egemaps,speaker_independent,emotion_quadrant,logistic_regression,family_only:temporal_voicing,4,5,5,672,192,0.007987400000274647,0.309872341730758,0.352094298245614,0.352094298245614,0.30805477141993026,0.328125,family_only,temporal_voicing,Voicing y temporalidad,0.49277735495579883,-0.18290501322504082
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:temporal_voicing,0,83,83,676,188,0.040384500000072876,0.5903169289198701,0.6128151260504202,0.6128151260504202,0.6111866415370796,0.601063829787234,leave_one_family_out,temporal_voicing,Voicing y temporalidad,0.5717091942772093,0.018607734642660745
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:temporal_voicing,1,83,83,686,178,0.042206500000247615,0.5126727680935651,0.5137432012432013,0.5137432012432013,0.5530773436022219,0.5449438202247191,leave_one_family_out,temporal_voicing,Voicing y temporalidad,0.5323625046451134,-0.019689736551548265
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:temporal_voicing,2,83,83,712,152,0.04518599999983053,0.5916965218689356,0.5984375,0.5984375,0.6219997485877705,0.618421052631579,leave_one_family_out,temporal_voicing,Voicing y temporalidad,0.5947770265939138,-0.003080504724978228
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:temporal_voicing,3,83,83,710,154,0.04336990000001606,0.5303279070005924,0.5312630917469627,0.5312630917469627,0.5687471947382163,0.5714285714285714,leave_one_family_out,temporal_voicing,Voicing y temporalidad,0.5188312370808955,0.011496669919696889
egemaps,speaker_independent,emotion_quadrant,logistic_regression,leave_one_family_out:temporal_voicing,4,83,83,672,192,0.04629720000002635,0.5081668797272825,0.5523464912280702,0.5523464912280702,0.5083666240545436,0.5208333333333334,leave_one_family_out,temporal_voicing,Voicing y temporalidad,0.49277735495579883,0.015389524771483643
