file_id,configuration,protocol,target,fold,seed,attention_entropy,attention_entropy_normalized,max_attention,frames_for_50pct_mass,frames_fraction_50pct_mass,n_frames
03-01-01-01-01-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,1.7396054090325557,0.3585314423878407,0.5959313545535005,1,0.0078125,128
03-01-01-01-01-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7625185002067614,0.6340838027281794,0.2310313821086738,4,0.0512820512820512,78
03-01-01-01-01-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.666263141757919,0.5925279816473277,0.3068749128164939,4,0.0444444444444444,90
03-01-01-01-01-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.114512093964724,0.4747075055739843,0.4139764038964637,2,0.0232558139534883,86
03-01-01-01-01-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,1.884517111601221,0.4312941074550664,0.3791759567903392,2,0.0253164556962025,79
03-01-01-01-01-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.720737665301633,0.598846827179074,0.1663584148445533,5,0.0531914893617021,94
03-01-01-01-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.739938797546429,0.6252674905866564,0.1429436869124583,5,0.0625,80
03-01-01-01-02-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.577026230331464,0.556025225396368,0.2114805409385048,4,0.0388349514563106,103
03-01-01-01-02-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.3783061179431706,0.5525720607010234,0.2252443271986049,3,0.0405405405405405,74
03-01-01-01-02-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.9370135305719858,0.6336969298595084,0.1267507770698877,5,0.0485436893203883,103
03-01-01-01-02-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7646143127455134,0.634564856804117,0.188026512421943,4,0.0512820512820512,78
03-01-01-01-02-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.178068664203914,0.4852406131383485,0.3298118069835201,3,0.0337078651685393,89
03-01-01-01-02-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.748175741178763,0.6345751458798118,0.1769491225265458,4,0.0526315789473684,76
03-01-01-01-02-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.849830605985669,0.6086609852958018,0.2102569323986454,5,0.0462962962962962,108
03-01-02-01-01-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.677717326008218,0.5866593024199362,0.2402740469761347,4,0.0416666666666666,96
03-01-02-01-01-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.772567508711496,0.6208295009765606,0.245366790070894,4,0.0459770114942528,87
03-01-02-01-01-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.614575969348385,0.5617959270452078,0.2460216568065549,3,0.0285714285714285,105
03-01-02-01-01-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7694951375180743,0.6000916178487161,0.2005825176424806,3,0.0297029702970297,101
03-01-02-01-01-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.5605606539617725,0.581058268132557,0.1953681363100131,3,0.0365853658536585,82
03-01-02-01-01-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.336962972884916,0.5120036585406467,0.3529848167287589,2,0.0208333333333333,96
03-01-02-01-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7280273865646976,0.597681700021093,0.214630826498281,4,0.0416666666666666,96
03-01-02-01-02-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,1.8578270694505836,0.3816772307131176,0.4534302938454716,2,0.0153846153846153,130
03-01-02-01-02-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.578355938160238,0.5867301787799222,0.1961700999248847,3,0.037037037037037,81
03-01-02-01-02-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.2056434846644803,0.4901637283033343,0.3803634714805311,2,0.0222222222222222,90
03-01-02-01-02-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.584894205016992,0.5716530441376622,0.282570748837773,3,0.0326086956521739,92
03-01-02-01-02-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.3322171712084763,0.4740297180757709,0.308394600990949,3,0.0218978102189781,137
03-01-02-01-02-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4334003692707844,0.5689947032457712,0.2162180307263102,3,0.0416666666666666,72
03-01-02-01-02-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.6113115083927307,0.5774952684976916,0.2756199983233721,4,0.0434782608695652,92
03-01-02-02-01-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4554008960058438,0.5254634789738863,0.2201180853830425,3,0.02803738317757,107
03-01-02-02-01-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.3296131491655734,0.5316291623450955,0.2771558042960744,2,0.025,80
03-01-02-02-01-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.350653532371168,0.4884795258824305,0.3099998646594664,2,0.016260162601626,123
03-01-02-02-01-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.776152539859253,0.6317407352199043,0.1739896497341324,4,0.0493827160493827,81
03-01-02-02-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.525027663480791,0.5109693190118594,0.3462294703966748,3,0.0214285714285714,140
03-01-02-02-02-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4111475059121523,0.4831540079912228,0.2985048593526103,2,0.0136054421768707,147
03-01-02-02-02-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.272965005205986,0.5314805836956319,0.3415917040941803,2,0.0277777777777777,72
03-01-02-02-02-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4520335105603506,0.5279558856713952,0.2423169271176696,3,0.0288461538461538,104
03-01-02-02-02-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.22074897993423,0.4513734938028111,0.3312750486407105,2,0.0145985401459854,137
03-01-02-02-02-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.216571278131717,0.4590777233482284,0.4332030162921248,2,0.016,125
03-01-02-02-02-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.11492836971408,0.4929375044151438,0.3798245270237589,2,0.0273972602739726,73
03-01-02-02-02-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.485020988313384,0.5318022714605901,0.3271359358861372,3,0.02803738317757,107
03-01-03-01-01-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.758396547083837,0.6071357196210009,0.1586953297081406,4,0.0425531914893617,94
03-01-03-01-01-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.8279309288874104,0.5876605549681929,0.1704863521769708,5,0.040650406504065,123
03-01-03-01-01-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.8410870736674174,0.6483500239789977,0.1463121251051067,5,0.0625,80
03-01-03-01-01-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.743092058942186,0.587030288529296,0.1689939964386155,4,0.0373831775700934,107
03-01-03-01-01-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.809761493099573,0.6062407317095018,0.157886340177447,5,0.0485436893203883,103
03-01-03-01-01-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.610577038362774,0.5693774384458056,0.2148165282050376,4,0.0408163265306122,98
03-01-03-01-01-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.593630634381656,0.5918792491718113,0.2493789557147187,4,0.05,80
03-01-03-01-01-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7755066044467074,0.6040117983789723,0.2653360819199239,4,0.0404040404040404,99
03-01-03-01-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.682563420947154,0.5918377357186125,0.1983189143877887,4,0.043010752688172,93
03-01-03-01-02-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7250953851566218,0.6117833217559536,0.134354239392674,6,0.0697674418604651,86
03-01-03-01-02-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.884733977052315,0.6641029458960612,0.1622734905172979,5,0.0649350649350649,77
03-01-03-01-02-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.110065335463045,0.4775156025632713,0.2291282678628882,3,0.036144578313253,83
03-01-03-01-02-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.5916752920330453,0.5591859413171444,0.2240696599446074,3,0.029126213592233,103
03-01-03-01-02-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.42807704460826,0.5356919463711729,0.2784405354666652,3,0.032258064516129,93
03-01-03-01-02-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.5762617282521125,0.5830175733667693,0.2314419644416086,3,0.036144578313253,83
03-01-03-01-02-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.5559015859402447,0.5680021541339222,0.2645151273959221,3,0.0333333333333333,90
03-01-03-02-01-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.735556965272991,0.5966360673219379,0.1542591950978376,4,0.0408163265306122,98
03-01-03-02-01-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.8954808863242585,0.6148131050348543,0.1595619820974189,4,0.036036036036036,111
03-01-03-02-01-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4332140289948616,0.5355615573284758,0.2396996263611409,3,0.0319148936170212,94
03-01-03-02-01-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.6918867091228478,0.5704964189986127,0.2112145527974139,4,0.0357142857142857,112
03-01-03-02-01-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.8474006979416706,0.6093526638387045,0.1696658275379137,5,0.0467289719626168,107
03-01-03-02-01-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7260681045698663,0.5227424135747649,0.1754328164814541,4,0.0217391304347826,184
03-01-03-02-01-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,3.119885344307234,0.6539701510151015,0.2073899579629077,6,0.0508474576271186,118
03-01-03-02-01-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.7898388647713164,0.5982363677256324,0.2189840933795028,4,0.0377358490566037,106
03-01-03-02-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.692891529223147,0.5707093723398571,0.2277155304191516,4,0.0357142857142857,112
03-01-03-02-02-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.857246183138363,0.6259921599494602,0.2491280434946178,5,0.0520833333333333,96
03-01-03-02-02-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.810791733543281,0.5923776478785704,0.1605096192395945,5,0.0434782608695652,115
03-01-03-02-02-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.999491742861588,0.6356877101548002,0.206476687513385,5,0.0446428571428571,112
03-01-03-02-02-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.8277777774097577,0.6140441423888497,0.2665623383635119,4,0.04,100
03-01-03-02-02-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.95711387952621,0.6243644373745848,0.1989195039380081,5,0.043859649122807,114
03-01-04-01-01-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4549522695452213,0.5127846482965693,0.1786499719826652,4,0.0333333333333333,120
03-01-04-01-01-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,1.9542472959610508,0.3977986122402429,0.5460407205883785,1,0.0073529411764705,136
03-01-04-01-01-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,1.7879061808334649,0.4091835493182508,0.4937786701048673,2,0.0253164556962025,79
03-01-04-01-01-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.372978547454508,0.5198942867440156,0.4022758377437765,2,0.0208333333333333,96
03-01-04-01-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,3.058124551251136,0.6796119781276625,0.1278269292343581,6,0.0666666666666666,90
03-01-04-01-02-01-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.027298281826216,0.448339909591538,0.3667678795821045,2,0.0217391304347826,92
03-01-04-01-02-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.678527908947572,0.5604642593580837,0.2602497942759455,3,0.0252100840336134,119
03-01-04-01-02-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.706764556880028,0.6045478973409502,0.25313127874714,4,0.0454545454545454,88
03-01-04-01-02-02-13,average_attention_statistics,speaker_independent,emotion_original,0,13,2.270891896635712,0.5084949883205052,0.294313930288208,2,0.0229885057471264,87
03-01-04-01-02-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.599273968291539,0.545816680339696,0.2454568569406223,3,0.0256410256410256,117
03-01-04-02-01-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.538361689436008,0.5389840559316683,0.2944826235466833,3,0.027027027027027,111
03-01-04-02-01-01-09,average_attention_statistics,speaker_independent,emotion_original,0,13,2.583864008601134,0.5191887174065293,0.2386220489675355,3,0.0206896551724137,145
03-01-04-02-01-01-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.756892499839916,0.5876546717592706,0.2738071200134688,3,0.0275229357798165,109
03-01-04-02-01-02-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.784598985484156,0.604667986854581,0.1473606012872265,4,0.04,100
03-01-04-02-01-02-09,average_attention_statistics,speaker_independent,emotion_original,0,13,1.9976444628108816,0.3931284187057586,0.3226648836394861,2,0.0124223602484472,161
03-01-04-02-01-02-14,average_attention_statistics,speaker_independent,emotion_original,0,13,2.4698008648930494,0.5374834488420818,0.2911076954220377,3,0.0303030303030303,99
03-01-04-02-02-01-01,average_attention_statistics,speaker_independent,emotion_original,0,13,2.8494527077933647,0.617416749442466,0.1947577224679398,5,0.0495049504950495,101
